,Zebrafish_LeftEye_x,Zebrafish_LeftEye_y,Zebrafish_LeftEye_p,Zebrafish_RightEye_x,Zebrafish_RightEye_y,Zebrafish_RightEye_p,Zebrafish_SwimBladder_x,Zebrafish_SwimBladder_y,Zebrafish_SwimBladder_p,Zebrafish_Tail1_x,Zebrafish_Tail1_y,Zebrafish_Tail1_p,Zebrafish_Tail2_x,Zebrafish_Tail2_y,Zebrafish_Tail2_p,Zebrafish_Tail3_x,Zebrafish_Tail3_y,Zebrafish_Tail3_p,Zebrafish_Tail4_x,Zebrafish_Tail4_y,Zebrafish_Tail4_p,Movement_bp_0_axis_x,Movement_bp_0_axis_y,Movement_bp_0_X_relative_2_Y,Movement_bp_1_axis_x,Movement_bp_1_axis_y,Movement_bp_1_X_relative_2_Y,Movement_bp_2_axis_x,Movement_bp_2_axis_y,Movement_bp_2_X_relative_2_Y,Movement_bp_3_axis_x,Movement_bp_3_axis_y,Movement_bp_3_X_relative_2_Y,Movement_bp_4_axis_x,Movement_bp_4_axis_y,Movement_bp_4_X_relative_2_Y,Movement_bp_5_axis_x,Movement_bp_5_axis_y,Movement_bp_5_X_relative_2_Y,Movement_bp_6_axis_x,Movement_bp_6_axis_y,Movement_bp_6_X_relative_2_Y,All_bps_X_relative_2_y,Tail_1_movement,Tail_2_movement,Tail_3_movement,Tail_4_movement,SwimBladder_movement,SwimBladder_distance travelled,Total_tail_movement,Lower_tail_movement,All_bps_X_relative_2_y_mean_2,All_bps_X_relative_2_y_sum_2,All_bps_X_relative_2_y_mean_5,All_bps_X_relative_2_y_sum_5,All_bps_X_relative_2_y_mean_6,All_bps_X_relative_2_y_sum_6,All_bps_X_relative_2_y_mean_7.5,All_bps_X_relative_2_y_sum_7.5,All_bps_X_relative_2_y_mean_15,All_bps_X_relative_2_y_sum_15,SwimBladder_velocity,Fish_clockwise_angle_degrees,Fish_angle_radians,Fish_angle_sin,Fish_angle_cos,Mean_angle_time_window_2,Mean_angle_time_window_5,Mean_angle_time_window_6,Mean_angle_time_window_7.5,Mean_angle_time_window_15,Direction_N,Direction_NE,Direction_E,Direction_SE,Direction_S,Direction_SW,Direction_W,Direction_NW,Number_of_direction_switches_2,Directionality_of_switches_switches_2,Number_of_direction_switches_5,Directionality_of_switches_switches_5,Number_of_direction_switches_6,Directionality_of_switches_switches_6,Number_of_direction_switches_7.5,Directionality_of_switches_switches_7.5,Number_of_direction_switches_15,Directionality_of_switches_switches_15,Angular_dispersion,Angular_dispersion_window_10,Rheotaxis
0,679.5,457.2,1.0,689.0,466.8,1.0,670.5,482.0,1.0,660.5,495.8,1.0,649.0,510.8,1.0,634.5,528.0,1.0,623.5,546.5,1.0,679.5,457.2,222.3,689.0,466.8,222.2,670.5,482.0,188.5,660.5,495.8,164.7,649.0,510.8,138.2,634.5,528.0,106.5,623.5,546.5,77.0,1119.4,30.17796350886458,30.178842848739425,30.1623935117978,30.295790401279483,0.0,0.0,120.81499027068129,60.45818391307728,1119.4,1119.4,1119.4,1119.4,1119.4,1119.4,1119.4,1119.4,1119.4,1119.4,0.0,38.047042531826094,0.6640461628266846,0.6163082616581107,0.7875050010075859,38.047042531826094,38.047042531826094,38.047042531826094,38.047042531826094,38.047042531826094,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1,679.5,457.5,1.0,689.0,467.0,1.0,670.5,481.8,1.0,660.5,496.0,1.0,649.0,511.2,1.0,634.5,528.5,1.0,623.5,547.0,1.0,0.0,0.30000000000001137,-0.30000000000001137,0.0,0.19999999999998866,-0.19999999999998866,0.0,-0.19999999999998866,0.19999999999998866,0.0,0.19999999999998866,-0.19999999999998866,0.0,0.3999999999999773,-0.3999999999999773,0.0,0.5,-0.5,0.0,0.5,-0.5,-1.8999999999999773,0.007308074042609166,0.014616148085218331,0.018270185106523958,0.018270185106523958,0.007308074042609166,0.007308074042609166,0.058464592340875414,0.036540370213047915,558.75,1117.5,558.75,1117.5,558.75,1117.5,558.75,1117.5,558.75,1117.5,0.007308074042609166,37.627836945685075,0.6567296451057713,0.6105300229107989,0.7919931130537307,37.83743973875558,37.83743973875558,37.83743973875558,37.83743973875558,37.83743973875558,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999933085785174,0.9999966542892588,0.0
2,679.5,457.5,1.0,689.0,466.8,1.0,670.5,481.8,1.0,660.5,495.5,1.0,649.0,511.0,1.0,634.5,528.5,1.0,623.0,548.5,1.0,0.0,0.0,0.0,0.0,-0.19999999999998866,0.19999999999998866,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,-0.19999999999998866,0.19999999999998866,0.0,0.0,0.0,-0.5,1.5,-2.0,-1.1000000000000227,0.018270185106523958,0.007308074042609166,0.0,0.057775398209501734,0.0,0.007308074042609166,0.08335365735863487,0.057775398209501734,372.1333333333334,1116.4,372.1333333333334,1116.4,372.1333333333334,1116.4,372.1333333333334,1116.4,372.1333333333334,1116.4,0.007308074042609166,37.627836945685075,0.6567296451057713,0.6105300229107989,0.7919931130537307,37.76757214106541,37.76757214106541,37.76757214106541,37.76757214106541,37.76757214106541,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999940520720044,0.9999957868835072,0.0
3,679.5,457.5,1.0,689.0,467.0,1.0,670.5,481.8,1.0,661.0,495.5,1.0,649.5,511.0,1.0,635.0,528.5,1.0,624.0,548.0,1.0,0.0,0.0,0.0,0.0,0.19999999999998866,-0.19999999999998866,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,1.0,-0.5,1.5,2.800000000000012,0.018270185106523958,0.018270185106523958,0.018270185106523958,0.040853375859691794,0.0,0.007308074042609166,0.09566393117926368,0.05912356096621575,279.8,1119.2,279.8,1119.2,279.8,1119.2,279.8,1119.2,279.8,1119.2,0.007308074042609166,37.24105502167107,0.6499790270445285,0.6051697093728821,0.7960964909215097,37.635942861216826,37.635942861216826,37.635942861216826,37.635942861216826,37.635942861216826,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999876222742154,0.9999937457311844,0.0
4,679.5,457.5,1.0,689.0,466.8,1.0,670.5,481.8,1.0,661.0,495.5,1.0,649.5,511.0,1.0,635.0,528.5,1.0,625.5,547.5,1.0,0.0,0.0,0.0,0.0,-0.19999999999998866,0.19999999999998866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-0.5,2.0,2.1999999999999886,0.0,0.0,0.0,0.057775398209501734,0.0,0.007308074042609166,0.057775398209501734,0.057775398209501734,224.28000000000003,1121.4,224.28000000000003,1121.4,224.28000000000003,1121.4,224.28000000000003,1121.4,0.5,2.0,0.007308074042609166,37.24105502167107,0.6499790270445285,0.6051697093728821,0.7960964909215097,37.556965293307684,37.556965293307684,37.556965293307684,37.556965293307684,37.43444598367808,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999862977628836,0.999992256137524,0.0
5,679.0,457.5,1.0,689.0,466.5,1.0,670.5,481.8,1.0,661.0,495.8,1.0,649.5,512.0,1.0,637.0,532.5,1.0,624.5,549.0,1.0,-0.5,0.0,-0.5,0.0,-0.30000000000001137,0.30000000000001137,0.0,0.0,0.0,0.0,0.30000000000001137,-0.30000000000001137,0.0,1.0,-1.0,2.0,4.0,-2.0,-1.0,1.5,-2.5,-6.0,0.010962111063914787,0.036540370213047915,0.16341350343876718,0.06587408921379062,0.0,0.007308074042609166,0.2767900739295205,0.2292875926525578,185.9,1115.4,185.9,1115.4,185.9,1115.4,185.9,1115.4,-0.5250000000000057,-2.1000000000000227,0.007308074042609166,33.4547142099876,0.5838949132780172,0.5512777211841708,0.8343218048966403,36.873256779421,36.873256779421,36.873256779421,36.873256779421,36.39116529975371,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996326819783512,0.9999323271109952,0.0
6,679.0,457.5,1.0,689.0,466.8,1.0,670.5,482.0,1.0,661.0,496.0,1.0,649.5,512.0,1.0,637.0,533.0,1.0,619.0,549.0,1.0,0.0,0.0,0.0,0.0,0.30000000000001137,-0.30000000000001137,0.0,0.19999999999998866,-0.19999999999998866,0.0,0.19999999999998866,-0.19999999999998866,0.0,0.0,0.0,0.0,0.5,-0.5,-5.5,0.0,-5.5,-6.699999999999988,0.007308074042609166,0.0,0.018270185106523958,0.20097203617176349,0.007308074042609166,0.014616148085218331,0.2265502953208966,0.21924222127828746,158.38571428571433,1108.7,158.38571428571433,1108.7,158.38571428571433,1108.7,158.38571428571433,1108.7,-1.9249999999999967,-7.699999999999988,0.014616148085218331,33.299420537184176,0.5811845273800827,0.549014365003863,0.835812913886478,36.36270874481574,36.36270874481574,36.36270874481574,36.36270874481574,35.30906119762847,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994469711035742,0.9998629905385066,0.0
7,679.0,457.5,1.0,689.0,466.8,1.0,670.5,482.0,1.0,661.0,495.8,1.0,649.5,512.0,1.0,637.5,533.0,1.0,619.0,549.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19999999999998866,0.19999999999998866,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.6999999999999886,0.007308074042609166,0.0,0.018270185106523958,0.0,0.0,0.014616148085218331,0.025578259149133118,0.018270185106523958,138.675,1109.4,138.675,1109.4,138.675,1109.4,138.675,1109.4,-2.450000000000003,-9.800000000000011,0.014616148085218331,32.9052429229879,0.5743048301747018,0.5432512781572743,0.8395701571521511,35.93052551708726,35.93052551708726,35.93052551708726,35.93052551708726,34.225108172957675,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993169779841952,0.9997947389692176,0.0
8,679.0,457.5,1.0,689.0,466.8,1.0,670.5,482.0,1.0,661.0,496.2,1.0,649.5,512.0,1.0,635.0,529.0,1.0,620.0,549.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999773,-0.3999999999999773,0.0,0.0,0.0,-2.5,-4.0,1.5,1.0,0.5,0.5,1.6000000000000227,0.014616148085218331,0.0,0.17236058157412856,0.040853375859691794,0.0,0.014616148085218331,0.22783010551903865,0.21321395743382032,123.44444444444444,1111.0,123.44444444444444,1111.0,123.44444444444444,1111.0,-1.0500000000000114,-8.400000000000091,-2.5999999999999943,-10.399999999999975,0.014616148085218331,37.06444962991118,0.6468966814815438,0.6027129939596816,0.7979580483409869,36.0565170851788,36.0565170851788,36.0565170851788,35.80770140434789,34.18095682501771,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993735374778692,0.9997479388035122,0.0
9,679.0,457.5,1.0,689.0,466.8,1.0,670.5,481.8,1.0,661.0,495.8,1.0,650.0,512.0,1.0,635.0,529.0,1.0,620.5,549.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19999999999998866,0.19999999999998866,0.0,-0.3999999999999773,0.3999999999999773,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,1.5999999999999657,0.014616148085218331,0.018270185106523958,0.0,0.018270185106523958,0.007308074042609166,0.0219242221278275,0.051156518298266236,0.018270185106523958,111.26,1112.6,111.26,1112.6,111.26,1112.6,-0.6125000000000185,-4.900000000000149,-0.7000000000000028,-2.800000000000012,0.0219242221278275,36.94750786524216,0.6448556626549771,0.6010830923132081,0.7991865340051666,36.14561616318514,36.14561616318514,36.14561616318514,35.72266026929253,35.054155238831356,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994253093216052,0.9997156758553216,0.0
